name,date,round,day,race_no,back_no,violation_time,violation_place,judgment
김준빈,2025-07-04,27,1,6,3,5 주회,BS,주의
김준철,2024-04-20,15,2,12,1,4 주회,HS,주의
김준호,2024-09-06,35,1,5,7,5 주회,결승선전,경고
김지광,2022-08-14,32,3,11,1,5 주회,BS,경고
김지광,2022-09-30,39,1,10,1,5 주회,2코너,주의
김지훈,2024-04-19,15,1,8,5,5 주회,BS,주의
김지훈,2025-09-07,36,3,5,2,5 주회,BS,주의
김지훈,2025-12-06,48,2,3,1,5 주회,BS,주의
김지훈,2026-01-18,3,3,8,1,5 주회,BS,주의
김철민,2023-03-31,13,1,9,3,4 주회,HS,주의
김철민,2023-04-02,13,3,9,1,5 주회,BS,주의
김철민,2023-06-10,23,2,9,1,5 주회,1코너,주의
김태오,2022-12-10,49,2,3,5,5 주회,결승선전,경고
김태완,2025-10-11,40,2,11,5,3 주회,3코너,주의
김태원,2022-04-23,16,2,4,4,5 주회,BS,주의
김태원,2022-10-28,43,1,2,2,5 주회,BS,주의
김태율,2025-08-29,35,1,12,2,3 주회,4코너,주의
김태한,2025-04-19,16,2,10,3,5 주회,1코너,주의
김태현,2026-02-27,9,1,9,6,5 주회,결승선전,주의
김태호,2025-04-18,16,1,6,5,3 주회,4코너,주의
김태호,2025-05-23,21,1,8,3,3 주회,3코너,주의
김학철,2022-06-03,22,1,6,2,5 주회,3코너,주의
김학철,2024-11-23,46,2,5,7,5 주회,4코너,주의
김한울,2023-06-03,22,2,1,1,4 주회,HS,주의
김현경,2023-04-02,13,3,13,3,5 주회,BS,주의
김현경,2024-06-09,22,3,14,3,5 주회,BS,주의
김현경,2025-02-16,7,3,7,3,5 주회,BS,주의
김형모,2024-04-27,16,2,7,1,5 주회,BS,주의
김형완,2023-06-24,25,2,15,1,5 주회,BS,주의
김형완,2023-09-17,37,3,12,1,4 주회,HS,주의
김호준,2022-07-29,30,1,7,3,4 주회,HS,주의
김홍건,2022-03-18,11,1,6,1,5 주회,결승선전,경고
김홍건,2023-12-15,49,1,9,7,5 주회,BS,주의
김홍건,2025-07-27,30,3,7,4,3 주회,4코너,주의
김홍건,2025-10-11,40,2,10,1,5 주회,BS,주의
김홍건,2026-02-07,6,2,5,1,3 주회,4코너,주의
김홍기,2022-05-13,19,1,7,2,5 주회,BS,주의
김홍기,2022-10-22,42,2,8,1,4 주회,HS,주의
김홍기,2023-05-26,21,1,9,7,4 주회,HS,주의
김홍기,2024-05-04,17,2,11,1,5 주회,BS,주의
김환윤,2022-04-30,17,2,12,5,4 주회,1코너,주의
김환윤,2022-07-22,29,1,13,1,5 주회,2코너,주의
김환윤,2022-07-23,29,2,14,2,5 주회,BS,주의
김환윤,2022-09-02,35,1,16,2,5 주회,1코너,주의
김환윤,2022-09-03,35,2,14,5,5 주회,BS,주의
김환윤,2022-11-18,46,1,10,1,4 주회,1코너,주의
김환윤,2023-01-13,2,1,6,2,5 주회,1코너,실격
김환윤,2025-04-26,17,2,14,1,5 주회,BS,주의
남승우,2023-07-15,28,2,8,1,5 주회,BS,주의
노성현,2022-10-23,42,3,7,4,5 주회,BS,주의
노성현,2022-11-06,44,3,9,2,5 주회,BS,주의
노성현,2023-02-18,7,2,2,1,5 주회,3코너,주의
노성현,2025-03-07,10,1,2,1,5 주회,BS,주의
노태경,2022-02-19,7,2,9,5,4 주회,HS,주의
노태경,2024-06-15,23,2,10,1,5 주회,1코너,주의
노태경,2024-11-03,43,3,12,1,5 주회,BS,주의
노택훤,2022-02-20,7,3,5,7,5 주회,3코너,주의
노택훤,2024-11-24,46,3,1,3,4 주회,HS,주의
노형균,2023-04-15,15,2,7,1,5 주회,1코너,주의
노형균,2025-04-13,15,3,16,4,5 주회,BS,주의
류군희,2026-02-06,6,1,9,4,5 주회,BS,주의
류근철,2024-03-29,12,1,7,4,5 주회,BS,주의
류성희,2022-05-06,18,1,8,1,5 주회,3코너,주의
류재민,2022-02-19,7,2,13,5,5 주회,2코너,주의
류재민,2022-09-30,39,1,16,6,5 주회,BS,주의
류재민,2023-02-18,7,2,14,1,5 주회,BS,주의
류재민,2023-10-06,39,1,15,5,5 주회,4코너,주의
류재민,2024-03-17,10,3,12,1,5 주회,1코너,주의
류재민,2024-07-26,29,1,14,2,5 주회,BS,주의
류재민,2024-08-17,32,2,15,6,5 주회,BS,주의
류재민,2024-08-30,34,1,13,6,5 주회,BS,주의
류재민,2024-09-01,34,3,15,4,5 주회,BS,주의
류재민,2024-09-20,37,1,13,1,5 주회,BS,주의
류재민,2024-10-19,41,2,16,2,5 주회,BS,주의
류재민,2025-03-01,9,2,12,2,5 주회,1코너,주의
류재민,2025-04-13,15,3,12,5,3 주회,4코너,주의
류재민,2026-02-13,7,1,7,4,5 주회,BS,주의
류재열,2023-08-13,32,3,15,1,5 주회,BS,주의
류재열,2026-03-02,9,4,16,1,5 주회,1코너,주의
류재열,2026-03-08,10,3,16,1,5 주회,1코너,경고
류재은,2022-04-16,15,2,1,5,5 주회,3코너,주의
류재은,2022-05-15,19,3,1,1,5 주회,BS,주의
류재은,2022-10-28,43,1,3,3,5 주회,BS,주의
류재은,2023-01-15,2,3,4,1,5 주회,3코너,주의
류재은,2023-08-11,32,1,5,1,5 주회,BS,주의
류재은,2023-12-16,49,2,4,1,5 주회,BS,주의
류재은,2026-01-23,4,1,5,4,5 주회,결승선전,경고
명경민,2022-09-04,35,3,12,2,5 주회,결승선전,주의
문성은,2026-03-01,9,3,5,2,3 주회,4코너,주의
문승기,2023-06-10,23,2,11,2,5 주회,BS,주의
문영윤,2022-01-21,3,1,11,2,5 주회,결승선전,주의
문영윤,2022-04-22,16,1,10,2,5 주회,BS,주의
문희덕,2023-10-08,39,3,15,2,5 주회,BS,주의
문희덕,2024-07-28,29,3,13,4,5 주회,3코너,주의
문희덕,2024-08-02,30,1,15,1,5 주회,BS,주의
민상호,2024-05-17,19,1,3,1,5 주회,2코너,주의
